English,Persian,Context,File
Confirm Post Journal Entry,ورود پست مجله را تأیید کنید,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:10
Review the entry before posting to the general ledger,قبل از ارسال به دفتر کل، مدخل را مرور کنید,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:12
Important Notice,اطلاعیه مهم,,"apps/accounting/templates/accounting/journal_entries/confirm_post.html:26, templates/accounting/fixed_assets/disposal_form.html:197"
"Once posted, this journal entry will:",پس از ارسال، این مدخل مجله:,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:29
Become immutable and cannot be edited or deleted,تغییرناپذیر می شود و نمی توان آن را ویرایش یا حذف کرد,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:31
Update all affected account balances,تمام موجودی حساب های تحت تاثیر را به روز کنید,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:32
Be included in financial reports,در گزارش های مالی لحاظ شود,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:33
Require a reversing entry to undo,برای خنثیسازی به ورودی معکوس نیاز است,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:34
Debit,بدهی,,"apps/accounting/templates/accounting/journal_entries/confirm_post.html:68, apps/accounting/templates/accounting/journal_entries/detail.html:93, apps/accounting/templates/accounting/journal_entries/form.html:143 ... (5 more)"
Entry is balanced and ready to post,ورودی متعادل و آماده ارسال است,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:130
Entry is not balanced and cannot be posted,ورودی متعادل نیست و قابل ارسال نیست,,apps/accounting/templates/accounting/journal_entries/confirm_post.html:137
Posted - Entry is Immutable,ارسال شده - ورودی تغییرناپذیر است,,apps/accounting/templates/accounting/journal_entries/detail.html:34
Unposted - Entry Can Be Edited,پست نشده - ورودی قابل ویرایش است,,apps/accounting/templates/accounting/journal_entries/detail.html:41
Entry ID,شناسه ورودی,,"apps/accounting/templates/accounting/journal_entries/detail.html:60, templates/accounting/journal_entries.html:71"
Posted,ارسال شده است,,"apps/accounting/templates/accounting/journal_entries/detail.html:67, apps/accounting/templates/accounting/journal_entries/list.html:54, apps/accounting/templates/accounting/journal_entries/list.html:140 ... (4 more)"
Unposted,پست نشده,,"apps/accounting/templates/accounting/journal_entries/detail.html:69, apps/accounting/templates/accounting/journal_entries/list.html:55, apps/accounting/templates/accounting/journal_entries/list.html:147 ... (1 more)"
Journal Entry Lines,خطوط ورودی مجله,,"apps/accounting/templates/accounting/journal_entries/detail.html:79, apps/accounting/templates/accounting/journal_entries/form.html:101"
Entry is Balanced,ورودی متعادل است,,apps/accounting/templates/accounting/journal_entries/detail.html:152
Entry is Not Balanced,ورودی متعادل نیست,,apps/accounting/templates/accounting/journal_entries/detail.html:159
Audit Trail,مسیر حسابرسی,,"apps/accounting/templates/accounting/journal_entries/detail.html:171, templates/accounting/dashboard.html:725"
Entry must be balanced before posting,ورودی قبل از ارسال باید متعادل باشد,,apps/accounting/templates/accounting/journal_entries/detail.html:223
Post Entry,پست ورودی,,apps/accounting/templates/accounting/journal_entries/detail.html:227
Post Journal Entry,ورودی مجله پست,,"apps/accounting/templates/accounting/journal_entries/detail.html:250, templates/accounting/journal_entries/confirm_post.html:39"
"Are you sure you want to post this journal entry? Once posted, the entry becomes immutable and will affect account balances.",Are you sure you want to post this journal entry? پس از ارسال، ورودی تغییرناپذیر می شود و بر موجودی حساب تأثیر می گذارد.,,apps/accounting/templates/accounting/journal_entries/detail.html:253
"Yes, Post Entry",بله، پست ورودی,,apps/accounting/templates/accounting/journal_entries/detail.html:261
Create a manual journal entry with balanced debits and credits,یک مدخل مجله دستی با بدهی و اعتبار متعادل ایجاد کنید,,apps/accounting/templates/accounting/journal_entries/form.html:34
Validation Error,خطای اعتبارسنجی,,apps/accounting/templates/accounting/journal_entries/form.html:122
Save Entry,ذخیره ورودی,,apps/accounting/templates/accounting/journal_entries/form.html:244
New Journal Entry,ورودی مجله جدید,,"apps/accounting/templates/accounting/journal_entries/list.html:16, apps/accounting/templates/accounting/journal_entries/list.html:202, templates/accounting/journal_entries/form.html:9 ... (1 more)"
Backup & Recovery Center,مرکز پشتیبان گیری و بازیابی,,"apps/backups/templates/backups/dashboard.html:229, templates/backups/dashboard.html:206"
Enterprise-grade data protection and disaster recovery management,حفاظت از داده ها در سطح سازمانی و مدیریت بازیابی فاجعه,,"apps/backups/templates/backups/dashboard.html:232, templates/backups/dashboard.html:209"
Trigger Backup,راه اندازی پشتیبان گیری,,"apps/backups/templates/backups/dashboard.html:238, templates/backups/dashboard.html:215"
